userID,bookID,prediction
u17832892,b51986055
u94058414,b95439113
u54876772,b61970919
u27182378,b29199360
u00343094,b17138341
u55453694,b70912031
u53021409,b04222499
u26001504,b15025576
u48139087,b56425922
u70455688,b09902724
u28953105,b07142228
u36945000,b51326446
u97475837,b50500341
u68002923,b37068431
u88982175,b96621963
u52168464,b11734216
u91756228,b80070869
u53125666,b37073691
u79194318,b28801125
u72751138,b74874001
u59622201,b76141146
u20171277,b98256804
u45375749,b70912031
u65313704,b09614554
u36308322,b22931155
u11927701,b19822827
u75318183,b99620979
u28955320,b52467549
u11355295,b49740475
u99482094,b59207489
u62783053,b63310868
u42294816,b88198181
u41535627,b77508650
u54901177,b59032154
u05764663,b02029908
u79511695,b04588843
u54086461,b50384790
u27166914,b04947348
u94485198,b40225936
u41108799,b75995832
u81834592,b45985779
u29314456,b29576446
u06990044,b21674268
u30407176,b11179371
u13082043,b43695301
u45728403,b67423323
u62494430,b34466452
u31155331,b78180005
u57264215,b09979253
u00012433,b90354954
u28186083,b05289257
u39657659,b33230428
u54788542,b36717912
u40119804,b76932568
u36011321,b73029799
u61269446,b52648851
u80545919,b22534885
u74891931,b75612001
u96576490,b15268547
u83326261,b71663032
u86826285,b76606700
u22892814,b15534810
u31228908,b90916310
u53146670,b23985802
u53489985,b25847150
u12581800,b06655641
u64880476,b76329691
u14039822,b02984754
u37354712,b26138336
u81649665,b26651756
u80395525,b32521851
u76463070,b93745301
u79736122,b97302773
u63407690,b29452634
u10690686,b95511741
u44451907,b20537286
u17015883,b07812624
u67196969,b58654737
u46524447,b29802159
u42317649,b92536464
u11513655,b25485861
u02351030,b08135061
u67709372,b40650642
u04100661,b33298668
u86198553,b11179371
u38469672,b84003655
u28665443,b12151882
u82772573,b65216323
u98818379,b35526856
u85952629,b88487078
u16778523,b58177693
u31250324,b44488728
u71934069,b06167371
u20320947,b91793651
u92796604,b14653724
u31228099,b51735088
u22452383,b33699537
u49906594,b09800397
u02600265,b72512930
u29574023,b25811713
u64076044,b15439387
u53259713,b84394767
u13315205,b83689359
u35076434,b79928088
u03416441,b67351913
u28345292,b70440869
u53888663,b97444387
u82303431,b41331137
u54840543,b76875015
u97482686,b95295873
u73369160,b39410493
u25005896,b95822040
u84578291,b66908318
u45714900,b04493477
u64921673,b60479803
u95892453,b54695184
u44398147,b27563355
u00679942,b95816463
u41067269,b97887852
u57620203,b39994787
u42200370,b63791555
u40520440,b60434059
u36472940,b74882779
u13852037,b48132407
u81440944,b52485134
u36329394,b38399229
u49373453,b75920771
u64738765,b20071798
u28295934,b64424298
u73728143,b93241768
u71313113,b54369491
u43607227,b45033558
u79558356,b87439329
u95803602,b22785797
u19945954,b44270946
u85084155,b69294942
u60814873,b01899333
u27524637,b16000102
u45094749,b89833966
u08080153,b47096249
u01779047,b09589765
u64165144,b80143734
u10603381,b15439387
u87687063,b31815290
u69591350,b52485134
u37835157,b37548208
u26558551,b92431670
u42651867,b30907758
u24626448,b23029053
u21907754,b17585340
u25820876,b60562440
u59178162,b20071798
u44566646,b97317113
u74163226,b34463991
u72187912,b19867465
u39265208,b42903412
u81769131,b01645723
u06501193,b07378867
u94274049,b18330963
u92098250,b08545824
u06119316,b93475213
u53103846,b02833529
u13263607,b38030355
u96435276,b30331659
u30212905,b02880533
u91527704,b22050161
u23731178,b05154189
u34189495,b24644027
u04167888,b52217488
u30756818,b75817040
u82053704,b68504138
u18431020,b80754789
u77151315,b70930132
u69453224,b55067058
u14840127,b34231324
u80157623,b82150877
u74621837,b44849506
u64051107,b91561409
u15339022,b63602718
u93831876,b08749536
u62991121,b19822827
u59647513,b45954724
u28888395,b42065988
u34376327,b05231805
u81140405,b91306932
u76676202,b25020940
u65301301,b54907466
u17419373,b21345256
u15927744,b64898087
u20324124,b42065988
u21634319,b20191328
u52741129,b00722811
u13846390,b68605354
u66149038,b22652791
u10404264,b73131708
u77753141,b08004121
u46865029,b72304066
u72048095,b42977080
u39576547,b01672704
u49901545,b91712126
u50613001,b91561409
u15476394,b09365635
u67649836,b69989437
u33399751,b78008834
u47101856,b64937687
u22498038,b35067156
u17677997,b17367693
u06836736,b31365966
u08458904,b57528832
u50655144,b02534240
u67509093,b77333717
u40174196,b46584434
u73560915,b05231805
u77437293,b23711476
u37574376,b79928088
u13898237,b57316882
u62448957,b59575409
u57478950,b49642293
u98529126,b91136715
u27011996,b02624512
u94054925,b55703166
u51669926,b21357510
u25408967,b12526023
u64533057,b07812624
u79444023,b80952577
u36310701,b09049778
u40113408,b67857700
u06617271,b96858988
u84876258,b21498435
u55814562,b52580354
u79184117,b11029332
u75806678,b55984728
u46739822,b52842739
u83858729,b95000069
u20524561,b29998162
u66994786,b17618752
u37128243,b39050561
u19307990,b31821160
u08948001,b60484296
u38198183,b65896428
u27497118,b94907376
u81105240,b84792068
u43080490,b18094608
u54382136,b75219215
u19359999,b46899348
u59248790,b77201589
u43804147,b65667329
u06659786,b98545244
u09797879,b41516337
u74018645,b11338586
u44250287,b80970834
u36100138,b07828157
u84034350,b06802134
u35687074,b18378777
u62744330,b54878424
u59776929,b93573763
u84987638,b20877763
u84537865,b51371406
u51474974,b86578209
u34827484,b87049222
u70409576,b25847150
u56338179,b14362802
u95812976,b57530040
u79743053,b77508650
u63405810,b80934346
u82320863,b54866470
u68004624,b09049778
u01162279,b42313805
u29813593,b97815152
u66651595,b72782535
u05502408,b31353181
u56122105,b41876913
u73792357,b54549999
u24164104,b53423202
u50732332,b79253970
u23883517,b93997659
u03819003,b28992679
u52511781,b91156396
u23109124,b82853645
u39916505,b33565960
u21392572,b04669122
u03576850,b16148471
u06548215,b99606483
u42769308,b39847294
u06114485,b33470089
u21667271,b54499051
u18139749,b06167371
u07138131,b97177380
u19609478,b91156396
u45876645,b82023182
u94273162,b89449410
u54281243,b60149039
u40200193,b28182987
u40934095,b33935257
u32450991,b91561409
u36410229,b27144105
u33317872,b23738653
u31761611,b00525842
u49769897,b84098191
u80365817,b38444386
u78550924,b40988980
u52234710,b05764551
u44107849,b97177380
u17625525,b49740475
u60126956,b59273187
u07313948,b31362596
u68018948,b19867465
u85359985,b54791634
u66534902,b47096249
u85299539,b40128170
u16994366,b02310665
u60775907,b06167371
u72923039,b74821603
u51159546,b08349503
u62443549,b06167371
u41067269,b21546847
u52234710,b36066654
u58258929,b79928088
u42532766,b41341679
u73309591,b72827993
u58203956,b09589765
u14846497,b60875236
u41872543,b39126300
u54628002,b65216323
u68892526,b27710508
