userID,reviewID,prediction
u77355739,r70788666
u93892904,r58778896
u53246589,r24585482
u51256488,r66832354
u37667882,r26215995
u04290052,r93789702
u71861317,r11337086
u50718340,r95194669
u59691404,r06460830
u70465949,r70332388
u28586375,r32579332
u57598263,r54609056
u21214511,r33265548
u35415898,r93715033
u30442903,r61695453
u41607583,r05500645
u02297222,r70105384
u57363552,r13601997
u54555845,r92518588
u22176854,r96079855
u36365664,r30645102
u86834742,r47534743
u26715617,r68736517
u58574412,r16220434
u46942180,r16359980
u81480871,r99259519
u27808191,r78123079
u05869274,r87489171
u85221912,r08548326
u06061048,r15692816
u21080013,r34972325
u42092143,r98907201
u19012370,r21944384
u87402876,r04174545
u95792245,r99605334
u64843352,r71461121
u53842461,r93086348
u98167057,r81773760
u37490139,r34176081
u22395741,r95740248
u23280167,r06417436
u02655909,r98221972
u32239376,r27925470
u89984474,r46917030
u17204370,r29205784
u35095227,r60623914
u68491102,r86593882
u50810258,r26854019
u23388348,r19800454
u62406716,r38091199
u85893734,r12810286
u59519821,r47790279
u23538254,r07812518
u17792457,r12761443
u11402565,r76458604
u23164793,r33827408
u80876312,r23180289
u83647211,r30462720
u14667554,r39868826
u42983380,r63690209
u77412222,r28100942
u11003766,r60958427
u93510813,r88752972
u13930662,r60505719
u31780887,r46393968
u60664166,r30835043
u81554759,r76150114
u78284288,r15536492
u17524963,r27599898
u90370458,r04672560
u24606703,r00108885
u43961979,r75918851
u72214587,r01209239
u52945063,r90174615
u05643899,r40073011
u16549537,r48038580
u88794927,r64508415
u68448222,r17165545
u43941302,r69295328
u26474410,r17719964
u33766876,r01994956
u65003705,r26179902
u47937380,r75308838
u51912755,r34423800
u72938100,r76561833
u79008871,r53068245
u55319680,r58307981
u48985237,r88676921
u74348747,r44562215
u89354803,r21545763
u21710646,r38554804
u15143439,r43652589
u44703106,r25386065
u83818074,r40263956
u11499476,r25331512
u12933202,r82213690
u68592362,r68144610
u02244453,r17678443
u20472430,r97505807
u04190779,r59074448
u39169458,r57678917
u70199192,r96618638
u65880474,r74158496
u97980195,r52756355
u14879689,r07099902
u78060663,r93941591
u14682720,r18424988
u40264847,r79953952
u88122509,r48444225
u09912851,r16022667
u07509441,r50600383
u14617050,r87392040
u18028309,r37035318
u32238230,r51041233
u09281607,r72868545
u71296480,r64267849
u91329355,r88407119
u55153708,r38466450
u02825021,r85162303
u22521987,r09973860
u93187835,r25958802
u16062873,r99911181
u53549849,r58932095
u12807993,r32774603
u40947669,r63569363
u95041767,r75174354
u96519384,r96681558
u57069986,r90331319
u24140980,r95451437
u27045454,r70073034
u31219353,r30656445
u37595283,r75062133
u22066168,r07087872
u99184449,r89591191
u92061756,r12073443
u99273680,r20803881
u31574478,r17853365
u26970622,r34903108
u09143465,r80221468
u77326345,r46257121
u43417075,r63954787
u31376276,r22873685
u06008353,r76423871
u26531960,r77632535
u37588681,r80314084
u44431121,r69962730
u21144778,r31676364
u82840393,r14896607
u59119929,r38353692
u00431568,r10531800
u13115559,r48947995
u19704596,r98165314
u81984994,r37015970
u84515103,r81446889
u16968746,r17385218
u45432198,r94809068
u58725522,r97236356
u71137482,r81566898
u37553683,r81166875
u91319080,r81785364
u66558580,r48798859
u97585027,r73254148
u88105838,r55441852
u39246299,r74729634
u59198099,r92709343
u17152127,r39777484
u15472343,r46541679
u26438891,r38425483
u43715519,r39983789
u62199681,r55538235
u00758153,r74907024
u07935783,r54405900
u59702952,r29634457
u37049782,r22310060
u56280738,r48537964
u77977192,r40949303
u75305630,r39240418
u40370741,r26090779
u38303293,r42745029
u62336783,r59391855
u88401647,r91446288
u42971408,r07580680
u35186144,r79633155
u45971239,r11120044
u34744550,r38289378
u52764508,r88197772
u82979897,r56182802
u34863273,r71167433
u62719040,r56217110
u48325145,r94778132
u34916339,r99870759
u97860527,r30938144
u47708111,r37633779
u82407989,r76411132
u80655163,r29225355
u07300884,r85506264
u22351034,r43870803
u71745804,r09848768
u32859467,r17280034
u71831985,r51272180
u04953789,r44828503
u03008015,r93485304
u82769698,r57288696
u35094942,r68654538
u90288569,r55729414
u01036410,r89853949
u68750897,r36930052
u84515103,r87061083
u61968005,r86068566
u58319124,r63837564
u41894232,r54573828
u25950975,r06651776
u37234402,r35047534
u23514968,r87873521
u76355774,r59110852
u36476109,r29081273
u59989455,r13594756
u61324277,r75960793
u12913216,r66074160
u94478047,r10431073
u43291628,r12857225
u30272061,r85344555
u22367541,r33207502
u50329853,r58415754
u84580838,r78155999
u05258561,r54104063
u07455855,r26743306
u48774257,r35238971
u53406552,r05631890
u60532805,r81993833
u44519325,r58049787
u15558176,r25935003
u62199681,r43662466
u90249550,r37475064
u73091029,r80436066
u36255720,r63336515
u56639638,r29989168
u60024040,r25110897
u17484255,r04545573
u45101319,r57961673
u72655678,r72024800
u12081505,r07777388
u81547234,r71340774
u81720460,r65928450
u72804214,r32678498
u46423444,r28167931
u25656140,r88242956
u77697451,r83321637
u16434702,r78533881
u03222960,r55166039
u03812768,r81403821
u15814929,r22409106
u65837631,r04521014
u74755688,r19335307
u97646575,r34238170
u30433521,r81506767
u75162684,r35369840
u15379392,r68822163
u23276516,r34000547
u74746582,r64321866
u00529487,r33246046
u38503106,r55784741
u81675065,r00865048
u75328770,r57773580
u80307832,r85606848
u16575570,r16536238
u35563640,r26492066
u11670422,r64255636
u23588312,r84564594
u52441530,r16396304
u87284324,r87708285
u72519422,r20665852
u67821655,r11663752
u07512680,r38485703
u08384956,r38004870
u46652343,r91679805
u95273547,r96508621
u17609393,r85679893
u68496329,r87370452
u93882437,r07468362
u57320944,r81961776
u49870221,r84270463
u87401199,r71027606
u83852866,r07350083
u60439115,r71295250
u07893770,r05304586
u21521914,r60640902
