userID,bookID,prediction
u37758667,b99713185
u85626045,b00524816
u70770448,b21349423
u64714864,b52217488
u78647159,b05439735
u43398119,b08135061
u93156409,b24931555
u85724496,b15357546
u72905804,b31964420
u61280144,b93997659
u13480142,b20719123
u17636373,b24799655
u74364434,b72228347
u43186229,b29576446
u80022267,b05334612
u15192312,b41764391
u90311281,b14311111
u42850585,b91143227
u25080664,b67877559
u36408241,b08180481
u33360666,b98957639
u90171128,b98335764
u04133017,b98256804
u01137563,b27179218
u34446517,b34668017
u00000539,b87709656
u38043397,b95835140
u12747816,b39325908
u60899733,b02984754
u34957828,b62853608
u94306729,b26104451
u77826754,b53321055
u34462368,b64813643
u96335901,b10032964
u40217898,b15038153
u74565740,b26379747
u77768269,b60408189
u96387203,b50400108
u11612500,b19363346
u31751774,b97059720
u45600149,b61511295
u50579932,b17205811
u45534886,b76793631
u58877217,b03458965
u25425477,b07327816
u81686813,b55260914
u36634167,b32140664
u55265086,b39942657
u65751729,b57704283
u94462479,b23238133
u27514179,b99069142
u60197618,b55375819
u08139961,b30290521
u13810664,b24870303
u58900348,b62213674
u66821791,b47318679
u58770327,b39989034
u29914565,b12894375
u00371676,b08420504
u00249079,b70494212
u11609523,b92071779
u41702260,b12920844
u04644558,b26138336
u15277345,b86795542
u49589476,b20664798
u74052290,b93997659
u55339928,b07378867
u45232796,b22570609
u77647891,b52249964
u98999041,b72847182
u62980270,b64770267
u67867575,b62617887
u61831453,b42348056
u77695392,b21699056
u59864954,b65667329
u19408896,b96097640
u69473332,b91216157
u89408914,b91095194
u51578155,b50070819
u04343293,b75511430
u01880253,b76329691
u58883116,b25774226
u16773649,b70912031
u94849255,b66409189
u82870308,b70680443
u05786215,b74591012
u40818252,b59770276
u31695007,b46728002
u62874550,b19030695
u33805215,b40715352
u08458904,b07161961
u62669458,b22124548
u06064862,b18469261
u34829814,b86788370
u81632612,b05154189
u20851233,b14548141
u28625832,b07812624
u78951421,b84003655
u22411386,b20071798
u80600374,b52929604
u67561061,b65442043
u92896065,b02766522
u24181519,b17585340
u88874763,b66983425
u89144204,b35228639
u60958575,b14851058
u32045089,b07278059
u33541460,b30331659
u41279517,b07762758
u16263572,b21916593
u12979747,b70664431
u10688087,b87743122
u15970386,b08116189
u61158819,b79547504
u49202345,b51612619
u05753831,b55177800
u72858459,b33470089
u28176174,b35185805
u21124433,b52172141
u20915030,b50733255
u39779531,b47096249
u92542304,b68325129
u35075430,b11580764
u56656790,b55984728
u49212973,b19867465
u55485367,b50384790
u09688536,b72042026
u90210123,b08545824
u80747777,b70912031
u04133017,b81770974
u17340087,b46484029
u50692600,b63993683
u81606584,b55518767
u81691883,b52736396
u89174557,b65216323
u91585652,b89401031
u45020222,b35245483
u00127400,b97730029
u52252935,b42439444
u93432871,b77533075
u05753831,b63666979
u45307400,b26328146
u55836453,b24793954
u93961145,b98092403
u52539147,b26846716
u12261233,b81791077
u06592677,b87049222
u59448545,b38939355
u23306074,b77508650
u72025442,b63647498
u27087136,b25108448
u27678822,b66468678
u08350594,b59940707
u98385002,b83439687
u88344994,b93418350
u18122528,b79253970
u49718893,b85511908
u92532954,b38447018
u81749368,b19867465
u30012825,b37539465
u39798574,b43020589
u77610220,b07857410
u53743855,b12962230
u07431008,b98824412
u32123906,b35067156
u25039319,b88868614
u95399909,b50483911
u50066909,b32155979
u13411690,b10078983
u41616068,b07577205
u57565666,b00553199
u16773649,b23178736
u26240208,b82606021
u42962364,b40477781
u96640895,b66645563
u30566146,b83825983
u86009687,b15666475
u93496791,b86355152
u68011389,b16200405
u90430308,b59032154
u88631913,b84261625
u17311254,b79928088
u93250683,b84239754
u39238888,b32921266
u91179973,b71876923
u71506103,b11760574
u50485403,b97982876
u53749809,b54781444
u82400967,b45594562
u26441748,b68107492
u35599324,b29543216
u61830664,b62325202
u80007661,b33110278
u43750120,b62718965
u55230775,b81292094
u24313100,b26315023
u48773373,b13168701
u90396527,b93997659
u32200029,b33470089
u89229950,b36701991
u75610069,b39659537
u72120460,b17159384
u04647337,b55716906
u04141420,b66908318
u22857125,b24145081
u55519207,b07611214
u00089202,b27211567
u55624906,b73340999
u98065054,b19822827
u65276699,b73266123
u11412604,b12204510
u61390499,b10369117
u55044962,b57340409
u59669901,b98203712
u62810933,b94184377
u27398174,b13298774
u74711059,b57528832
u24499403,b81166341
u21214511,b56970025
u92793610,b23305099
u58091352,b63488553
u40221396,b13771134
u10124969,b67205199
u01471533,b74591012
u05789655,b78124101
u81952853,b71794852
u07272345,b32140664
u41726761,b10630678
u04212766,b34231324
u08954049,b41355300
u95644473,b12742886
u21218417,b06167371
u82104078,b82396507
u75551223,b26940296
u74588676,b36766414
u27956396,b48700850
u11572358,b66807473
u52606858,b39810321
u45403815,b30331659
u38179383,b86834511
u74449424,b56806391
u79419581,b99073543
u39888755,b39611561
u12587797,b67030393
u43410558,b88487078
u08402285,b63400627
u76049809,b93009446
u86810088,b55373287
u47023092,b73142135
u24350663,b55073403
u53737584,b22450352
u22914741,b91499032
u28679148,b95074507
u04844640,b36686510
u38794592,b70912031
u97921066,b02582153
u61123213,b41177965
u47795310,b31215424
u90070815,b08349503
u18486035,b44711938
u19144971,b40206886
u68361419,b35067156
u75172282,b15869276
u46182005,b08545824
u31795061,b68713172
u81317771,b29422431
u16269292,b00982283
u38708772,b11179371
u50154464,b66664015
u30259889,b97491927
u09723288,b42839996
u03186275,b82853645
u43059668,b76420998
u28060990,b19455550
u58809388,b14311111
u44989740,b76473315
u39330888,b32943938
u35601774,b32521851
u68019651,b57103638
u27549970,b34272527
u21843642,b19822827
u83883318,b30188578
u27204644,b46607828
u76936057,b90617158
u86246372,b93150761
u07577351,b22680910
u22795775,b95822040
u11442798,b86785429
u68967234,b59032154
u55608621,b29802159
u59077802,b34532370
u39437062,b09472826
u19526801,b05332134
u78191596,b02353817
u39226275,b45240667
u54254718,b57528832
u80693742,b97743780
u61741144,b90569300
u13414888,b82203807
u82062035,b95835140
u13742567,b21674268
u13670496,b31983693
u91954131,b65392656
u91954131,b04222499
u09082826,b79676224
u64397122,b14700744
u88969193,b54597883
u32297665,b25321754
u68031774,b20263758
u44044692,b29576446
u08377394,b81524397
u59319884,b52929604
u73327042,b80871817
u62531263,b03441179
u79810583,b32288653
u71506103,b33162877
u26624423,b55690506
u40403672,b62998539
u28272093,b36231626
u23810552,b27818520
u45676336,b38905954
u22831645,b27710508
u62368338,b18094608
u30573224,b96145635
u34611625,b42920311
u08402285,b86788370
u57819425,b94595938
u83218476,b73980899
u91795648,b47074257
u65071615,b19494868
u06663874,b07892193
u95966592,b91430166
u69719734,b75995832
u11140184,b69763611
u13129754,b66067490
u55760568,b52484884
u68511836,b03132960
u92560621,b98552397
u53025122,b62349347
u07152048,b99256359
u39132989,b19363346
u95617588,b58325885
u55595819,b99073543
u23538254,b56611489
u03926025,b29193193
u01098180,b08165372
u06118675,b14071263
u45236465,b01989511
u65935295,b85868333
u05448486,b95056972
u21541378,b63603925
u60913250,b62948751
u62113533,b11516322
u68278430,b67957413
u43566989,b59032154
u52737170,b44883412
u89457816,b46018393
u26620170,b21153012
u46410733,b01792617
u46163037,b37889001
u34367497,b64813643
u20824131,b66908318
u93396118,b33857677
u69548402,b41031288
u42559342,b23986868
u25355287,b90415240
u74660096,b94080022
u50101416,b78359727
u96869559,b97302773
u71412071,b46312782
u63392361,b91894573
u22914741,b53423202
u09666109,b49401737
u56200200,b57879270
u60570653,b31988440
u91454893,b57857330
u79938460,b93430095
u95796829,b96921455
u77854820,b86890524
u31111593,b33110278
u73945628,b18378777
u06369864,b20048021
u39088489,b61123120
u42097019,b63652115
u16647687,b21015849
u40238583,b67351913
u20872680,b40055511
u15841354,b74821603
u86219817,b54259269
u30634133,b55959591
u76790870,b32177867
u80478766,b80625075
u34327633,b67474210
u66534902,b67877559
u58799810,b99660372
u30666714,b92889205
u90311281,b75706553
u17030691,b38993937
u80002344,b25934426
u07863887,b90032980
u45147799,b62282738
u39773743,b48043590
u37361788,b78407772
u88855120,b55461548
u83040100,b69764907
u79044208,b15432669
u31913916,b69604468
u50456484,b32288653
u84090515,b97302773
u34472410,b52499583
u31009305,b17756641
u92689220,b85758992
u13330040,b91229724
u85683598,b23178736
u78786765,b87917145
u71388930,b42977080
u22226103,b88263678
u26833412,b96714327
u55433015,b95056972
u52839618,b06167371
u38534545,b35967180
u87528483,b33200754
u87358127,b99057972
u50156109,b83551310
u67867575,b49708412
u35379573,b23760358
u29197075,b07500263
u29694361,b41658600
u93815456,b81974345
u49142547,b90166159
u26467261,b31362596
u12236678,b47027276
u64739318,b09759371
u81675065,b10026693
u59157206,b31960686
u88458070,b61430045
u40248621,b60427743
u36142325,b29316857
u67686746,b09393084
